2019-06-07 22:50:37,772 INFO  - HHH000412: Hibernate Core {5.4.2.Final}
2019-06-07 22:50:39,456 INFO  - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-06-07 22:50:39,952 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:39,972 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:39,973 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:39,974 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:39,984 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:41,163 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:45,043 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3af3581a] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:45,067 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@44411fba] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:45,343 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:45,891 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:46,033 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:46,035 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:46,036 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:46,037 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:46,038 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:46,045 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:46,685 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@1f53503] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:46,694 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@229686ac] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:46,847 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:46,925 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:47,046 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:47,048 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:47,050 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:47,051 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:47,052 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:47,063 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:47,641 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7dd5fc36] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:47,647 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@716c9c9] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:47,737 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:47,817 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:47,908 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:47,910 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:47,911 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:47,912 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:47,913 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:47,923 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:48,387 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@38cc8baa] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:48,394 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@672035c7] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:48,492 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:48,541 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:48,619 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:48,620 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:48,621 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:48,621 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:48,622 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:48,629 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:48,996 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@652ca38a] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:49,001 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7eafade1] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:49,115 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:49,183 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:49,283 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:49,285 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:49,286 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:49,287 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:49,288 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:49,297 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:49,692 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3fbcce0a] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:49,698 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@5a3ecbb1] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:49,817 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:49,885 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:49,984 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
